mysql> SELECT AccountId AS "Account ID",
    -> createdOn AS "creation date",
    -> modifiedOn AS "modification date",
    -> DATEDIFF(modifiedOn, createdOn) AS "Days between"                                                                                                  
    -> FROM AddressBook
    -> LIMIT 100;
+------------+---------------------+---------------------+--------------+
| Account ID | creation date       | modification date   | Days between |
+------------+---------------------+---------------------+--------------+
|         82 | 2015-04-01 21:57:03 | 2015-04-19 08:47:10 |           18 |
|         44 | 2016-09-01 02:44:48 | 2015-05-13 06:40:31 |         -477 |
|          3 | 2016-05-04 23:06:18 | 2016-06-16 06:54:15 |           43 |
|         42 | 2016-04-27 15:47:18 | 2015-11-02 03:16:46 |         -177 |
|         84 | 2016-06-26 02:43:41 | 2015-04-06 10:24:41 |         -447 |
|         20 | 2016-06-14 11:57:46 | 2016-08-06 08:21:37 |           53 |
|         78 | 2016-04-04 12:03:17 | 2016-05-02 06:57:34 |           28 |
|         24 | 2016-03-13 03:37:54 | 2014-10-07 23:28:48 |         -523 |
|         62 | 2015-06-06 13:11:10 | 2016-04-06 08:56:13 |          305 |
|         88 | 2016-05-23 06:09:38 | 2016-05-10 09:47:12 |          -13 |
|         37 | 2015-04-08 19:54:00 | 2016-06-27 14:22:52 |          446 |
|         39 | 2014-12-11 23:14:58 | 2015-02-06 03:25:34 |           57 |
|         53 | 2016-08-28 17:28:05 | 2014-11-16 01:25:33 |         -651 |
|         95 | 2016-09-06 22:12:23 | 2014-10-23 16:27:37 |         -684 |
|         60 | 2016-09-11 23:26:48 | 2015-08-17 03:39:45 |         -391 |
|          7 | 2014-11-07 01:24:33 | 2014-12-20 15:29:26 |           43 |
|         18 | 2016-07-02 23:11:24 | 2015-05-22 23:19:47 |         -407 |
|         75 | 2016-04-21 06:36:52 | 2014-09-23 18:23:29 |         -576 |
|         58 | 2015-05-29 16:21:43 | 2014-11-25 19:56:25 |         -185 |
|         68 | 2016-01-09 13:40:51 | 2015-07-04 06:08:51 |         -189 |
|         65 | 2016-07-03 17:24:50 | 2016-07-15 07:03:03 |           12 |
|         77 | 2016-08-14 10:52:51 | 2015-11-30 20:15:47 |         -258 |
|         29 | 2016-06-14 09:25:22 | 2015-05-01 12:00:50 |         -410 |
|         66 | 2015-09-29 21:05:46 | 2016-04-28 09:53:35 |          212 |
|         87 | 2016-02-02 22:31:50 | 2014-11-29 01:59:50 |         -430 |
|         53 | 2016-06-08 09:03:20 | 2014-12-02 01:42:40 |         -554 |
|         74 | 2015-09-12 05:58:36 | 2016-08-24 06:07:24 |          347 |
|         76 | 2014-11-02 14:49:20 | 2016-02-19 02:41:41 |          474 |
|         44 | 2015-04-17 15:11:13 | 2016-01-28 10:21:05 |          286 |
|          9 | 2015-01-23 11:20:13 | 2015-10-09 19:15:20 |          259 |
|         88 | 2015-02-23 04:34:56 | 2016-07-28 15:44:53 |          521 |
|         35 | 2016-09-09 22:11:23 | 2015-11-29 00:26:04 |         -285 |
|         82 | 2016-05-02 05:47:52 | 2015-09-17 09:14:51 |         -228 |
|         58 | 2015-06-21 12:31:13 | 2016-03-24 09:01:22 |          277 |
|          6 | 2014-11-22 04:13:13 | 2015-06-17 15:45:15 |          207 |
|          1 | 2015-05-28 11:35:03 | 2016-08-14 13:52:13 |          444 |
|         79 | 2015-09-09 03:49:37 | 2014-12-09 02:01:11 |         -274 |
|         88 | 2015-09-13 02:25:16 | 2016-09-06 17:47:20 |          359 |
|         81 | 2016-03-12 10:14:24 | 2015-05-29 22:07:22 |         -288 |
|         97 | 2016-02-18 19:51:51 | 2014-12-31 01:26:45 |         -414 |
|         61 | 2016-06-11 03:19:47 | 2015-12-15 03:00:10 |         -179 |
|         41 | 2014-11-06 00:51:27 | 2014-09-20 00:41:46 |          -47 |
|         63 | 2016-01-23 06:45:04 | 2015-05-17 01:38:02 |         -251 |
|         88 | 2015-03-18 22:08:56 | 2015-05-17 03:10:14 |           60 |
|          2 | 2016-03-27 10:37:43 | 2016-06-16 00:03:26 |           81 |
|         13 | 2015-08-02 18:13:41 | 2015-05-21 14:12:54 |          -73 |
|         64 | 2015-09-09 00:33:54 | 2014-09-21 08:00:40 |         -353 |
|         64 | 2016-03-10 10:57:57 | 2015-10-25 06:24:41 |         -137 |
|         93 | 2016-05-24 14:29:32 | 2015-10-12 00:23:28 |         -225 |
|         86 | 2016-03-16 05:42:52 | 2015-12-07 02:57:44 |         -100 |
|          7 | 2016-02-21 01:53:43 | 2014-12-26 22:04:58 |         -422 |
